Joshua Project People Group Data

ROL3,Language,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
plr,"Senoufo, Palaka",1,1,Y,2,,,,N,Y,,6,Islam
seq,"Senoufo, Senara",1,2,N,1,,,,N,N,,4,"Ethnic Religions"
seb,"Senoufo, Shempire",2,2,N,1,,,,N,N,,4,"Ethnic Religions"
sep,"Senoufo, Sicite",2,4,N,4,,2017,1995-1999,N,Y,,4,"Ethnic Religions"
spp,"Senoufo, Supyire",2,1,Y,4,,2008-2012,1979-1998,Y,Y,spp,6,Islam
shz,"Senoufo, Syenara",1,2,N,2,,,,N,N,,4,"Ethnic Religions"
tgw,"Senoufo, Tagwana",1,4,N,5,2010,1987,Yes,Y,Y,tgw,6,Islam
set,Sentani,1,2,N,4,,1997,1982-1992,N,Y,set,4,"Ethnic Religions"
std,Sentinel,1,1,Y,2,,,,N,N,,9,Unknown
spb,"Sepa (Indonesia)",1,4,N,1,,,,N,N,,6,Islam
spe,"Sepa (Papua New Guinea)",1,5,N,2,,,,N,N,,1,Christianity
sry,Sera,1,5,N,0,,,,N,Y,,1,Christianity
srp,Serbian,58,3,N,5,1804-2015,1563-1997,1564-1992,Y,Y,srp,1,Christianity
swf,Sere,1,5,N,0,,,,N,N,,4,"Ethnic Religions"
srr,Serer-Sine,3,2,N,5,2007-2008,1987,1979-1995,Y,Y,3751,6,Islam
sei,Seri,1,5,N,4,,1982,1966-1968,N,Y,,1,Christianity
sve,Serili,1,4,N,0,,,,N,N,,1,Christianity
ser,Serrano,,,N,0,,,,N,N,,,
seu,Serui-Laut,1,4,N,0,,,,N,Y,,1,Christianity
stf,Seta,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
stm,Setaman,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
sbi,Seti,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
tsn,Setswana,25,5,N,5,1857-2014,1840-1994,1830-1966,Y,Y,tsn,1,Christianity
sta,Settla,,,N,0,,,,N,N,,,
sew,"Sewa Bay",1,5,N,2,,,,N,Y,,1,Christianity
crs,"Seychelles French Creole",3,4,N,5,2013-2015,2000,1974-1984,Y,N,crs,1,Christianity
lsw,"Seychelles Sign Language",1,,N,2,,,,N,N,,1,Christianity
sze,Seze,1,4,N,0,,,,N,N,,6,Islam
sdb,Shabak,1,1,Y,0,,,,N,N,,6,Islam
sbf,Shabo,,,N,1,,,,N,N,,,
srz,Shahmirzadi,1,1,Y,0,,,,N,Y,,6,Islam
shm,Shahrudi,1,1,Y,0,,,,N,Y,,6,Islam
sha,Shall-Zwall,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
sqa,Shama-Sambuga,1,2,N,0,,,,N,N,,4,"Ethnic Religions"
xsh,Shamang,1,,N,2,,,,N,N,,,
ksb,Shambala,1,5,N,4,,1908-2005,1896-1960,Y,Y,ksb,6,Islam
shn,Shan,4,1,Y,5,1892-2002,1882-1995,1871-1995,Y,Y,shn,2,Buddhism
swo,Shanenawa,,,N,0,,,,N,Y,,,
sho,Shanga,1,1,Y,3,,,2017,N,Y,,6,Islam
mcd,Sharanahua,2,4,N,4,,1996-2008,1973-2002,N,Y,mcd,4,"Ethnic Religions"
swq,Sharwa,1,1,Y,2,,,,N,N,,6,Islam
shj,Shatt,1,1,Y,3,,,2018,N,Y,shj,6,Islam
cbt,Shawi,1,2,N,4,,1978-2021,1964-1991,Y,Y,cbt,4,"Ethnic Religions"
sjw,Shawnee,1,4,N,3,,,1836-1929,N,N,,1,Christianity
shx,She,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
shv,Shehri,2,1,Y,0,,,,N,N,,6,Islam
swv,Shekhawati,265,1,Y,4,,2017-2021,2015,Y,Y,swv,5,Hinduism
moy,Shekkacho,1,5,N,4,,2017,2004,Y,Y,moy,1,Christianity
she,Sheko,1,5,N,4,,2023,2015,N,Y,,1,Christianity
sth,Shelta,2,4,N,0,,,,N,N,,1,Christianity
shl,Shendu,,,N,2,,,,N,N,,,
scv,Sheni,,,N,0,,,,N,Y,,,
bun,Sherbro,1,4,N,3,,,1839,Y,Y,bun,4,"Ethnic Religions"
sdp,Sherdukpen,1,1,Y,2,,,,N,Y,,2,Buddhism
xsr,Sherpa,29,2,N,4,,2014-2015,1975-2008,Y,Y,xsr,2,Buddhism
shr,Shi,1,5,N,5,1997-2024,1961-1977,1953-1958,Y,Y,,1,Christianity
gua,Shiki,1,2,N,0,,,,N,Y,,6,Islam
shk,Shilluk,2,5,N,5,2012,1977,1911-1998,Y,Y,shk,4,"Ethnic Religions"
scl,Shina,70,1,Y,3,,,1929,Y,Y,,6,Islam
plk,"Shina, Kohistani",58,1,Y,3,,,2021,Y,N,,6,Islam
shp,Shipibo-Conibo,2,4,N,4,,1983-2013,1954-1976,Y,Y,shp,1,Christianity
sle,Sholaga,2,1,Y,4,,2022,2022,Y,Y,sle,5,Hinduism
sii,"Shom Peng",1,1,Y,2,,,,N,N,,9,Unknown
sna,Shona,12,5,N,5,1949-2007,1907,1897-1994,Y,Y,sna,1,Christianity
bcv,Shoo-Minda-Nye,1,4,N,0,,,,N,Y,,1,Christianity
cjs,Shor,3,2,N,3,,,2004-2022,N,N,,4,"Ethnic Religions"
shh,Shoshoni,1,4,N,3,,,1986,N,Y,,1,Christianity
shg,Shua,1,4,N,3,,,1978,N,Y,,4,"Ethnic Religions"
jiv,Shuar,1,2,N,4,,Yes,Yes,Y,Y,jiv,4,"Ethnic Religions"
suj,Shubi,1,5,N,2,,,,N,Y,,1,Christianity
sgh,Shughni,2,1,Y,3,,,2001-2015,Y,Y,,6,Islam
sxg,Shuhi,1,1,Y,1,,,,N,N,,2,Buddhism
sts,Shumashti,1,1,Y,0,,,,N,Y,,6,Islam
scu,Shumcho,4,1,Y,2,,,,N,Y,,5,Hinduism
shs,Shuswap,1,4,N,0,,,,N,Y,,1,Christianity
shw,Shwai,1,1,Y,2,,,,N,Y,,6,Islam
slw,Sialum,1,5,N,1,,,,N,N,,1,Christianity
sif,Siamou,2,1,Y,3,,,2009,N,Y,,4,"Ethnic Religions"
snp,Siane,1,5,N,4,,1991-2015,1964-1994,N,Y,snp,1,Christianity
sya,Siang,1,1,Y,4,,2021,Yes,Y,Y,,4,"Ethnic Religions"
sjr,Siar-Lak,1,5,N,3,,,2007-2012,Y,Y,,1,Christianity
mmp,Siawi,1,4,N,4,,1977-2013,1992-1998,N,Y,mmp,4,"Ethnic Religions"
nco,Sibe,1,5,N,3,,,1984-2004,N,Y,,1,Christianity
sty,"Siberian Tatar",3,1,Y,3,,,2019-2022,N,N,,6,Islam
scn,Sicilian,2,3,N,3,,,1860-1861,N,Y,scn,1,Christianity
sid,Sidamo,1,5,N,5,2015,1990,1933-2007,Y,Y,sid,1,Christianity
erg,Sie,1,5,N,4,,1909,1864-1914,N,Y,erg,1,Christianity
sgx,"Sierra Leone Sign Language",1,,N,2,,,,N,N,,6,Islam
sxe,Sighu,1,4,N,0,,,,N,N,,1,Christianity
dse,"Sign Language of the Netherlands",1,,N,2,,,,N,N,,7,Non-Religious
spg,"Sihan (Malaysia)",1,1,Y,2,,,,N,N,,4,"Ethnic Religions"
snr,"Sihan (Papua New Guinea)",1,5,N,2,,,,N,N,,1,Christianity
ski,Sika,1,5,N,3,,,2022,Y,Y,,1,Christianity
sky,Sikaiana,1,5,N,3,,,1932-1946,N,Y,,1,Christianity
tty,Sikaritai,1,5,N,3,,,1992,N,Y,,1,Christianity
sik,Sikiana,2,4,N,0,,,,N,N,,4,"Ethnic Religions"
sip,Sikkimese,65,1,Y,0,,,,N,Y,,2,Buddhism
skh,Sikule,1,1,Y,0,,,,N,N,,6,Islam
slt,Sila,2,1,Y,2,,,,N,N,,4,"Ethnic Religions"
szl,Silesian,1,3,N,4,,2017,Yes,N,N,,1,Christianity
sli,"Silesian, Lower",2,3,N,0,,,,N,N,,1,Christianity
wul,Silimo,1,4,N,5,Yes,1992,1995,N,N,wul,4,"Ethnic Religions"
mkc,Siliput,1,5,N,1,,,,N,Y,,1,Christianity
xsp,Silopi,1,5,N,2,,,,N,N,,1,Christianity
stv,Silt'e,1,1,Y,3,,,1981-2010,Y,Y,,6,Islam
sie,Simaa,5,5,N,3,,,2016,Y,Y,,4,"Ethnic Religions"
sbw,Simba,,,N,3,,,Yes,N,N,,,
smg,Simbali,1,5,N,1,,,,N,N,,1,Christianity
smb,Simbari,1,5,N,4,,Yes,1994-2010,N,N,3832,1,Christianity
sbb,Simbo,1,5,N,3,,,2007-2013,N,Y,,1,Christianity
smz,Simeku,1,5,N,1,,,,N,N,,1,Christianity
smr,Simeulue,1,1,Y,0,,,,N,N,,6,Islam
smt,Simte,2,3,N,5,1992,1975,1957,N,Y,smt,1,Christianity
siu,Sinagen,1,5,N,1,,,,N,Y,,1,Christianity
sst,Sinasina,1,5,N,4,,1975-1976,1967-1980,Y,Y,,1,Christianity
snc,Sinaugoro,1,5,N,4,,1995-2014,1991,Y,Y,snc,1,Christianity
snd,Sindhi,560,1,Y,5,1954,1890-1992,1825-1981,Y,Y,snd,6,Islam
sbn,"Sindhi Bhil",10,2,N,0,,,,N,Y,,6,Islam
sls,"Singapore Sign Language",1,,N,2,,,,N,N,,2,Buddhism
sgp,Singpho,2,2,N,5,Yes,Yes,1907,N,Y,,2,Buddhism
sin,Sinhala,49,2,N,5,1823-2009,1776-1991,1739-1966,Y,Y,sin,2,Buddhism
hmz,"Sinicized Miao",2,1,Y,3,,,2004-2005,Y,Y,,4,"Ethnic Religions"
skq,Sininkere,1,2,N,0,,,,N,Y,,6,Islam
sys,Sinyar,1,1,Y,1,,,,N,Y,,6,Islam
xsi,Sio,1,5,N,4,,1995-2015,1988,N,N,xsi,1,Christianity
snn,Siona,2,5,N,4,,1982-2009,1965,N,Y,snn,1,Christianity
qum,Sipakapense,1,4,N,3,,,1980-1998,N,Y,,1,Christianity
swj,Sira,1,5,N,3,,,1954,Y,Y,swj,1,Christianity
fos,Siraya,,,N,3,,,1661-1888,N,N,,,
sir,Siri,1,1,Y,2,,,,N,Y,,6,Islam
sri,Siriano,1,4,N,4,,1998-2009,1993,N,N,sri,1,Christianity
srq,Siriono,1,4,N,4,,1977-2013,1964,N,Y,srq,1,Christianity
srx,Sirmauri,45,1,Y,4,,2017-2022,Yes,Y,Y,srx,5,Hinduism
ssd,Siroi,1,5,N,4,,1975-2014,1971-2000,N,N,ssd,1,Christianity
sbq,Sirva,1,5,N,0,,,,N,N,,1,Christianity
sil,"Sisaala, Tumulung",1,4,N,5,2012-2014,1984,1972-2011,Y,Y,sil,4,"Ethnic Religions"
ssl,"Sisaala, Western",1,2,N,3,,,1978,N,N,,4,"Ethnic Religions"
sih,Sishee,,,N,0,,,,N,N,,,
sld,Sissala,1,4,N,4,,1999-2006,1995,Y,Y,,4,"Ethnic Religions"
sis,Siuslaw,,,N,0,,,,N,N,,,
siy,Sivandi,1,1,Y,0,,,,N,Y,,6,Islam
lsv,"Sivia Sign Language",,,N,1,,,,N,N,,,
siz,Siwi,2,1,Y,0,,,,N,N,,6,Islam
akp,Siwu,1,5,N,4,,2008-2015,2003-2005,N,Y,akp,1,Christianity
ska,Skagit,,,N,0,,,,N,N,,,
ske,Ske,1,5,N,1,,,,N,N,,1,Christianity
skv,Skou,1,4,N,1,,,,N,Y,,1,Christianity
scs,"Slavey, North",1,4,N,0,,,,N,Y,,1,Christianity
xsl,"Slavey, South",1,4,N,4,,1891,1868-1973,Y,N,,1,Christianity
svm,Slavomolisano,1,3,N,0,,,,N,N,,1,Christianity
chu,"Slavonic, Church",,,N,5,1581-2015,1580,1491-1580,N,N,,,
slk,Slovak,30,3,N,5,1829-2017,1913-1995,1904-1995,Y,Y,slk,1,Christianity
svk,"Slovakian Sign Language",1,,N,3,,,Yes,N,N,,1,Christianity
slv,Slovene,16,3,N,5,1584-2017,1577-1985,1555-1993,Y,Y,slv,1,Christianity
ysl,"Slovenian Sign Language",2,,N,0,,,,N,N,,1,Christianity
sno,Snohomish,,,N,0,,,,N,N,,,
soc,"So (Democratic Republic of Congo)",1,4,N,4,,1920,1909-1915,N,Y,,1,Christianity
sss,"So (Laos)",2,1,Y,3,,,1980-2014,N,Y,,2,Buddhism
ssq,So'a,1,4,N,2,,,,N,N,,1,Christianity
urw,Sob,1,5,N,3,,,2007-2015,N,N,urw,1,Christianity
sob,Sobei,1,4,N,0,,,,N,Y,,1,Christianity
xog,Soga,2,5,N,5,2014-2020,1999,1896-2011,Y,Y,xog,1,Christianity
soj,Soi,1,1,Y,1,,,,N,N,,6,Islam
sok,Sokoro,2,4,N,3,,,2001-2022,N,Y,,6,Islam
sby,Soli,1,5,N,4,,2018,2014,Y,Y,sby,1,Christianity
szs,"Solomon Islands Sign Language",1,,N,1,,,,N,N,,1,Christianity
aaw,Solong,1,5,N,4,,2017,Yes,N,Y,,1,Christianity
sol,Solos,1,5,N,3,,,2013-2024,N,Y,,1,Christianity
som,Somali,30,1,Y,5,1979-2008,1972-1976,1915-1935,Y,Y,som,6,Islam
bmu,Somba-Siawari,1,5,N,4,,1992-2013,1984-1992,Y,Y,bmu,1,Christianity
smu,Somray,1,5,N,0,,,,N,Y,,4,"Ethnic Religions"
kgt,Somyev,,,N,0,,,,N,N,,,
ysg,Sonaga,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
shc,Sonde,1,4,N,2,,,,N,Y,,1,Christianity
sop,Songe,1,5,N,5,2011,1952-1978,1920-1981,Y,Y,sop,1,Christianity
hmb,"Songhay, Humburi Senni",2,1,Y,1,,,,N,Y,,6,Islam
khq,"Songhay, Koyra Chiini",1,1,Y,4,,1936-2017,1928,Y,Y,,6,Islam
ses,"Songhay, Koyraboro Senni",4,1,Y,4,,2014,2004,Y,Y,ses,6,Islam
nsx,"Songo (Angola)",1,5,N,4,,2021,1936-1999,N,N,,1,Christianity
soo,"Songo (Democratic Republic of the Congo)",1,4,N,2,,,,N,Y,,1,Christianity
sod,Songoora,1,4,N,2,,,,N,N,,1,Christianity
soi,Sonha,5,1,Y,4,,2021,Yes,N,Y,,5,Hinduism
siq,Sonia,1,5,N,2,,,,N,N,,1,Christianity
snk,Soninke,11,1,Y,3,,,2001-2018,Y,Y,,6,Islam
sov,Sonsorolese,2,5,N,2,,,,N,N,,1,Christianity
teu,Soo,,,N,2,,,,N,N,,,
mdc,Soq,1,5,N,2,,,,N,N,,1,Christianity
sqt,Soqotri,2,1,Y,3,,,1902-1905,N,N,,6,Islam
srb,Sora,58,3,N,5,1992-2004,1965-1996,1939-1985,Y,Y,,5,Hinduism
dsb,"Sorbian, Lower",2,3,N,5,1796-1824,1709-1860,1753,N,N,,1,Christianity
hsb,"Sorbian, Upper",,,N,5,1728-1860,1706-1966,1670-1960,N,N,,,
sbh,Sori-Harengan,1,5,N,1,,,,N,Y,,1,Christianity
sqo,Sorkhei,1,1,Y,1,,,,N,N,,6,Islam
akr,"Soro-n Raki",,,N,0,,,,N,Y,,,
bks,"Sorsoganon, Northern",1,5,N,2,,,,N,Y,,1,Christianity
srv,"Sorsoganon, Southern",1,5,N,0,,,,N,N,,1,Christianity
sdk,"Sos Kundi",1,5,N,3,,,2014,N,N,,1,Christianity
nso,"Sotho, Northern",4,5,N,5,1904-2013,2010,1964,Y,Y,nso,1,Christianity
sot,"Sotho, Southern",5,5,N,5,1872-2014,1855-1982,1839-1993,Y,Y,sot,1,Christianity
sqq,Sou,1,4,N,0,,,,N,Y,,4,"Ethnic Religions"
tlt,"Sou Nama",1,2,N,1,,,,N,N,,6,Islam
wha,"Sou Upaa",1,2,N,1,,,,N,N,,4,"Ethnic Religions"
mnx,Sougb,1,4,N,4,,1996-2016,1965-1969,Y,Y,mnx,1,Christianity
sor,Soumraye,1,5,N,3,,,1999-2023,N,Y,sor,1,Christianity
saz,Sourashtra,43,1,Y,5,2022-2023,2001,1978-1988,Y,Y,saz,5,Hinduism
sfs,"South African Sign Language",1,,N,3,,,2021,N,N,,1,Christianity
slh,"Southern Lushootseed",1,4,N,0,,,,N,N,,1,Christianity
sww,Sowa,,,N,0,,,,N,N,,,
sow,Sowanda,2,5,N,1,,,,N,N,,1,Christianity
dmy,Sowari,1,4,N,0,,,,N,N,,1,Christianity
spa,Spanish,370,5,N,5,1553-2017,1543-1999,1514-1985,Y,Y,spa,1,Christianity
ssp,"Spanish Sign Language",1,,N,3,,,2007-2022,N,N,,1,Christianity
spq,"Spanish, Charapa",1,3,N,0,,,,N,N,,1,Christianity
spt,"Spiti Bhoti",12,1,Y,2,,,,N,Y,,5,Hinduism
spo,Spokane,,,N,0,,,,N,Y,,,
squ,Squamish,,,N,0,,,,N,N,,,
srn,"Sranan Tongo",6,4,N,5,1997-2016,1829-2002,1966-1997,Y,Y,srn,1,Christianity
sci,"Sri Lankan Malay Creole",1,1,Y,2,,,,N,N,,6,Islam
sqs,"Sri Lankan Sign Language",,,N,3,,,2022,N,N,,,
stl,Stellingwerfs,,,N,5,2010,Yes,Yes,N,N,,,
stt,"Stieng, Budeh",1,5,N,4,,2009,1985,N,Y,,1,Christianity
sti,"Stieng, Bulo",2,5,N,0,,,,N,Y,,1,Christianity
sbu,"Stod Bhoti",5,1,Y,2,,,,N,Y,,2,Buddhism
jih,sTodsde,1,1,Y,1,,,,N,N,,2,Buddhism
sto,Stoney,1,5,N,3,,,1968-1973,N,Y,,1,Christianity
szp,Suabo,1,4,N,1,,,,N,Y,,1,Christianity
swp,Suau,2,5,N,4,,1956-2015,1885-1926,Y,Y,,1,Christianity
sxb,Suba,1,5,N,4,,2010,1993-2004,Y,Y,sxb,1,Christianity
ssc,Suba-Simbiti,1,4,N,4,,2021,2009-2012,Y,N,ssc,1,Christianity
syb,"Subanen, Central",1,5,N,4,,1992,1973-1983,N,Y,syb,4,"Ethnic Religions"
sfe,"Subanen, Eastern",1,2,N,3,,,2020,Y,N,,4,"Ethnic Religions"
stb,"Subanen, Northern",1,1,Y,4,,2011,2011,Y,N,stb,4,"Ethnic Religions"
laa,"Subanen, Southern",1,4,N,4,,1982,1939-1967,N,Y,,4,"Ethnic Religions"
skn,"Subanon, Kolibugan",1,1,Y,3,,,2014,Y,Y,,6,Islam
suc,"Subanon, Western",1,5,N,4,,1996-2021,1971-1974,Y,Y,suc,1,Christianity
xsj,Subi,1,4,N,2,,,,N,N,,6,Islam
sut,Subtiaba,,,N,0,,,,N,N,,,
tgo,Sudest,1,5,N,4,,2014,2009,N,Y,tgo,1,Christianity
sue,Suena,1,5,N,4,,1978-2014,1972,Y,N,sue,1,Christianity
sug,Suganga,1,4,N,1,,,,N,Y,,1,Christianity
kzs,"Sugut Dusun",1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
swi,Sui,1,1,Y,3,,,2003,Y,Y,,4,"Ethnic Religions"
sui,Suki,1,5,N,4,,1981,1952-1956,N,Y,,1,Christianity
sub,Suku,2,5,N,3,,,1973-1977,N,N,,1,Christianity
suk,Sukuma,2,5,N,5,1960-2015,1925-2005,1895-1995,Y,Y,suk,1,Christianity
syk,Sukur,1,4,N,3,,,2017,Y,Y,,4,"Ethnic Religions"
zsu,Sukurum,1,5,N,1,,,,N,N,,1,Christianity
szn,Sula,1,1,Y,3,,,2023,Y,N,,6,Islam
sua,Sulka,1,5,N,4,,1997-2014,1989,N,Y,sua,1,Christianity
srg,Sulod,1,5,N,0,,,,N,N,,4,"Ethnic Religions"
sqm,Suma,1,5,N,2,,,,N,N,,1,Christianity
siv,Sumariup,1,5,N,0,,,,N,N,,1,Christianity
six,Sumau,1,5,N,3,,,2007,N,N,,1,Christianity
smw,Sumbawa,1,1,Y,0,,,,Y,Y,,6,Islam
suw,Sumbwa,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
ssk,Sunam,1,1,Y,2,,,,N,Y,,2,Buddhism
sun,Sunda,2,1,Y,5,1891-2018,1877-1978,1854-1998,Y,Y,sun,6,Islam
ymn,Sunum,1,4,N,3,,,2006,N,Y,,1,Christianity
suz,Sunwar,6,1,Y,5,2011,1992,1988,Y,Y,suz,5,Hinduism
bbw,Supapya,1,3,N,2,,,,N,Y,,1,Christianity
sbj,Surbakhal,1,1,Y,1,,,,N,N,,6,Islam
sgj,Surgujia,42,1,Y,4,,2017-2023,Yes,Y,Y,sgj,5,Hinduism
koe,"Suri, Kacipo-Bale",2,1,Y,2,,,,N,Y,,4,"Ethnic Religions"
suq,"Suri, Tirmaga-Chai",1,4,N,3,,,2004-2023,Y,Y,suq,4,"Ethnic Religions"
sgd,Surigaonon,1,5,N,1,,,,N,Y,,1,Christianity
sjp,Surjapuri,67,1,Y,3,,,2010-2011,Y,Y,,5,Hinduism
sgz,Sursurunga,1,5,N,4,,2009-2014,1979-1987,N,Y,sgz,1,Christianity
swx,Suruaha,1,2,N,2,,,,N,N,,4,"Ethnic Religions"
sru,Surui,1,5,N,3,,,1991-2008,N,Y,,4,"Ethnic Religions"
mdz,"Surui Do Para",1,3,N,1,,,,N,N,,1,Christianity
sus,Susu,7,1,Y,5,2015-2018,1884-2010,1869-1963,Y,Y,sus,6,Islam
ssu,Susuami,,,N,0,,,,N,N,,,
sdj,Suundi,1,5,N,2,,,,N,Y,,1,Christianity
swu,Suwawa,1,1,Y,0,,,,N,N,,6,Islam
suy,Suya,2,2,N,3,,,2007,N,Y,,4,"Ethnic Religions"
syo,Su’ung,1,5,N,0,,,,N,N,,4,"Ethnic Religions"
sva,Svan,1,3,N,2,,,,N,N,,1,Christianity
swg,Swabian,,,N,5,2009,Yes,Yes,N,N,,,
swh,Swahili,40,4,N,5,1890-2017,1879-1989,1868-1968,Y,Y,swh,6,Islam
swc,"Swahili, Congo",2,4,N,5,1960-2002,1929-1992,1921-1955,Y,Y,swc,6,Islam
ssw,Swati,6,5,N,5,1996-2017,1981-1986,1976-1986,Y,Y,ssw,1,Christianity
swe,Swedish,28,4,N,5,1541-2023,1526-1996,1523-1991,Y,Y,swe,1,Christianity
swl,"Swedish Sign Language",1,,N,3,,,2001-2008,N,N,,1,Christianity
ssr,"Swiss-French Sign Language",,,N,1,,,,N,N,,,
sgg,"Swiss-German Sign Language",1,,N,1,,,,N,N,,1,Christianity
slf,"Swiss-Italian Sign Language",,,N,1,,,,N,N,,,
sox,Swo,1,4,N,3,,,2010,N,N,,1,Christianity
scw,Sya,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
syl,Sylheti,201,1,Y,4,,2014,1993,Y,Y,syl,6,Islam
syc,Syriac,,,N,5,1645-1991,1555-1920,1625-1904,Y,N,,,
syw,Syuba,2,1,Y,4,,Yes,1976-2023,N,Y,syw,2,Buddhism
tct,T'en,2,1,Y,1,,,,N,N,,4,"Ethnic Religions"
tto,"Ta'oih, Lower",2,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
tth,"Ta'oih, Upper",2,1,Y,3,,,2010,N,Y,,4,"Ethnic Religions"
nmn,Taa,3,2,N,2,,,,N,Y,,4,"Ethnic Religions"
tap,Taabwa,3,5,N,4,,2006-2016,Yes,N,Y,,1,Christianity
tby,Tabaru,1,4,N,4,,2008,1998,Y,Y,,1,Christianity
tab,Tabasaran,4,1,Y,4,,2010,1996-2007,Y,Y,tab,6,Islam
tnm,Tabla,1,4,N,3,,,1985-1991,N,Y,,1,Christianity
knv,Tabo,1,4,N,4,,2006-2014,1990-2002,N,Y,knv,1,Christianity
tbp,Taburta,1,3,N,1,,,,N,Y,,1,Christianity
tna,Tacana,1,2,N,4,,1981-2015,1969-1973,N,Y,tna,4,"Ethnic Religions"
shy,Tachawit,6,1,Y,3,,,1933-1950,Y,Y,,6,Islam
shi,Tachelhit,5,1,Y,4,,2021,1906-1925,Y,Y,shi,6,Islam
dsq,Tadaksahak,2,1,Y,1,,,,N,Y,,6,Islam
klw,Tado,1,3,N,4,,2021,2014,Y,Y,,1,Christianity
tdy,Tadyawan,1,1,Y,3,,,2004-2005,N,Y,,4,"Ethnic Religions"
rob,Tae',3,2,N,3,,,2022,Y,N,,6,Islam
tcd,Tafi,1,5,N,4,,2020,Yes,N,Y,tcd,6,Islam
bgs,Tagabawa,1,4,N,4,,2004,1952-2005,Y,Y,bgs,4,"Ethnic Religions"
klg,Tagakaulo,1,5,N,3,,,1964-2011,Y,Y,,4,"Ethnic Religions"
tgl,Tagalog,62,5,N,5,1905-2014,1902-1977,1898-1991,Y,Y,tgl,1,Christianity
oua,Tagargrent,1,1,Y,0,,,,N,N,,6,Islam
tbw,Tagbanwa,1,4,N,4,,1992,1968-1996,N,N,tbw,4,"Ethnic Religions"
tbk,"Tagbanwa, Calamian",1,4,N,4,,2002-2009,1968-1994,Y,Y,tbk,4,"Ethnic Religions"
tgt,"Tagbanwa, Central",,,N,2,,,,N,N,,,
tbm,Tagbu,1,4,N,1,,,,N,N,,1,Christianity
tda,Tagdal,1,1,Y,0,,,,N,N,,6,Islam
tgj,Tagin,12,3,N,4,,2018,Yes,N,Y,tgj,9,Unknown
tgx,Tagish,,,N,0,,,,N,N,,,
tag,Tagoi,4,1,Y,2,,,,N,N,,6,Islam
tah,Tahitian,6,4,N,5,1838-2004,1829-1988,1818-1861,Y,Y,,1,Christianity
tht,Tahltan,1,4,N,0,,,,N,N,,1,Christianity
tyr,"Tai Daeng",2,1,Y,2,,,,N,Y,,4,"Ethnic Religions"
blt,"Tai Dam",6,1,Y,4,,2013-2014,1982-2000,Y,Y,blt,4,"Ethnic Religions"
twh,"Tai Don",4,1,Y,3,,,1967-1992,Y,Y,,4,"Ethnic Religions"
tiz,"Tai Hongjin",1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
tnu,"Tai Khang",1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
tjl,"Tai Laing",1,1,Y,2,,,,N,N,,2,Buddhism
tlq,"Tai Loi",2,1,Y,0,,,,N,Y,,2,Buddhism
thi,"Tai Long",1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
tdd,"Tai Nua",5,1,Y,3,,,1931-1948,N,Y,,2,Buddhism
tpo,"Tai Pao",2,1,Y,2,,,,N,N,,4,"Ethnic Religions"
tmm,"Tai Thanh",1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
cuu,"Tai Ya",2,1,Y,3,,,1922,N,N,,4,"Ethnic Religions"
tyj,"Tai Yo",2,1,Y,1,,,,N,N,,4,"Ethnic Religions"
aos,Taikat,1,3,N,1,,,,N,N,,1,Christianity
ago,Tainae,1,5,N,1,,,,N,N,,4,"Ethnic Religions"
tnq,Taino,,,N,0,,,,N,N,,,
tbg,"Tairora, North",1,5,N,4,,1979-2015,1967-2008,Y,Y,tbg,1,Christianity
omw,"Tairora, South",1,5,N,4,,1994-2014,1967-1982,Y,N,omw,1,Christianity
uar,Tairuma,1,5,N,3,,,2013,N,Y,,1,Christianity
tss,"Taiwan Sign Language",1,,N,1,,,,N,N,,4,"Ethnic Religions"
pee,Taje,,,N,0,,,,N,N,,,
tgk,Tajik,26,1,Y,5,1992-2016,1983,1981,Y,Y,tgk,6,Islam
tdj,Tajio,1,2,N,3,,,2015-2020,N,Y,,6,Islam
tja,Tajuasohn,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
tks,Takestani,1,1,Y,0,,,,N,N,,6,Islam
tbc,Takia,2,5,N,4,,1999-2015,1979-1997,Y,Y,tbc,1,Christianity
tkz,Takua,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
nho,Takuu,1,4,N,4,,2009,Yes,Y,N,nho,1,Christianity
tke,Takwane,1,2,N,4,,2015-2016,2007-2009,Y,Y,tke,4,"Ethnic Religions"
tal,Tal,1,4,N,3,,,2015,Y,Y,,4,"Ethnic Religions"
tak,Tala,1,2,N,3,,,2021,N,Y,,4,"Ethnic Religions"
